"Global_x","Global_y","pop_ID"
1986.285767,2027.260498,"Tumor B"
1835.783447,1971.70105,"Tumor B"
1574.392822,1820.910767,"Tumor B"
1593.092163,1876.131592,"Tumor B"
1598.140625,1995.835938,"Microglia B"
1608.120972,1826.112915,"Tumor B"
1674.44812,1650.59021,"Tumor B"
1632.974731,1811.050659,"Tumor B"
1681.209839,1766.69751,"Tumor B"
1711.9646,1814.957397,"Tumor B"
1709.51001,1869.073853,"Tumor B"
1613.730713,1750.102539,"Tumor B"
1813.596436,1145.587769,"Tumor B"
1792.641479,1127.981079,"Tumor B"
1791.04126,1072.93811,"Tumor B"
1728.599976,1176.212524,"Tumor B"
1948,1045.685303,"Tumor B"
1806.191772,1217.71228,"Tumor B"
1841.379272,1210.321899,"Tumor B"
1833.725708,1253.016846,"Tumor B"
2004.294678,643.3303833,"Tumor B"
1902.676758,848.444458,"Tumor A"
1870.026123,752.5304565,"Tumor B"
1814.224731,896.3348389,"Microglia B"
1889.263184,486.5631714,"Tumor B"
1475.889771,1193.228516,"Tumor B"
1661.593506,1251.374146,"Tumor B"
1701.251587,1329.641479,"Tumor B"
1611.315552,1244.935791,"Tumor B"
1643.862793,1195.088257,"Tumor B"
1629.89209,1039.903442,"Tumor B"
815.8571167,1955.467041,"Microglia B"
1096.848999,1966.490601,"Tumor B"
1119.886841,1961.717041,"Tumor B"
1104.966919,1948.636353,"Tumor B"
1089.777832,1943.293701,"Tumor B"
1130.879517,1922.771118,"Microglia B"
1024.35022,1953.088623,"Tumor A"
1117.284424,1949.853394,"Tumor B"
1280.672607,1956.18457,"Tumor B"
1192.525879,1925.970337,"Tumor B"
1613.112671,1369.154907,"Tumor B"
1639.593018,1348.003906,"Tumor B"
1687.487793,1430.447144,"Tumor B"
1947.949341,1274.018433,"Microglia B"
1663.088745,1487.873779,"Tumor B"
1714.553833,1433.753906,"Tumor B"
1381.133911,1633.636353,"Tumor B"
1416.5625,1635.143799,"Tumor B"
1398.512939,1605.292236,"Tumor B"
1442.013916,1627.291626,"Tumor B"
1171.17395,1586.652222,"Tumor A"
1178.677246,1510.955688,"Tumor A"
1165.701904,1450.759644,"Tumor B"
1256.507568,1492.621216,"Tumor B"
1177.156982,1482.843018,"Microglia B"
1140.508667,1494.655151,"Tumor B"
1256.831299,1581.125,"Tumor B"
1305.30603,1612.626831,"Tumor B"
1313.166626,1620.199951,"Tumor B"
1301.920288,1621.681152,"Tumor B"
1175.092163,1720.886475,"Tumor B"
1180.794312,1808.937134,"Tumor B"
1243.837524,1788.837524,"Tumor B"
1139.137207,1850.307251,"Tumor B"
1454.574951,1959.637451,"Tumor B"
1420.009521,1969.741577,"Microglia B"
1924.228516,2042.900024,"Tumor B"
1832.71106,2029.022217,"Tumor B"
1875.768799,1894.20813,"Microglia B"
1896.396729,1950.52063,"Tumor A"
1743.271606,1846.481445,"Tumor B"
1722.918579,1810.036987,"Tumor B"
1781.779419,1806.455933,"Tumor B"
1740.364746,1865.591187,"Tumor B"
1867.990234,1857.794067,"Microglia B"
1696.853394,1928.162354,"Tumor B"
1558.789429,2041.894775,"Tumor B"
1624.023682,2039.763794,"Tumor B"
1678.929443,1641.400024,"Tumor B"
1769.834961,1707.825195,"CD4T D"
1591.61145,1743.828613,"Tumor B"
1686.134155,1717.512207,"Tumor B"
1599.129028,1802.021484,"Tumor B"
1783.116699,1101.06665,"Tumor B"
1776.640869,1180.276245,"Tumor B"
1805.642334,1207.211426,"Tumor B"
1952.347168,1080.152832,"Tumor B"
1801.094238,1260.052368,"Tumor B"
1821.666626,1220.857178,"Tumor B"
2021.362549,651.9124756,"Tumor A"
1904.016724,785.8833618,"Tumor B"
1786.752319,959.5596313,"Tumor B"
1642.663574,1237.94397,"Tumor B"
1533.761597,1251.708618,"Tumor B"
1561.934814,1252.82605,"Tumor B"
1555.354614,1249.113525,"Microglia B"
1595.871582,1207.770264,"Tumor B"
1647.055542,1377,"Tumor B"
1785.36438,1485.177979,"Tumor B"
1918.347168,1320.236084,"Tumor B"
1980.168091,1350.210083,"Tumor B"
1994.705322,1309.228516,"Tumor B"
1900.424805,1352.548706,"Microglia B"
1351.413086,1624.277222,"Tumor A"
1485.630249,1584.949585,"Tumor B"
1238.425659,1510.640991,"Tumor B"
1272.080444,1490.833374,"Tumor B"
1127.702148,1758.950317,"Tumor B"
1132.744751,1820.364624,"Tumor B"
1314.528198,1943.912842,"Tumor B"
1354.481445,1925.305542,"Tumor B"
1346.203735,1942.870361,"Tumor B"
1349.690308,1956.638672,"Tumor B"
1493.377808,1973.144409,"Tumor B"
1439.505371,1994.263428,"Tumor A"
1854.8125,2042.828125,"Tumor B"
1758.154541,2033.445435,"Tumor B"
1715.976685,1790.852661,"Tumor B"
1721.491821,1831.475464,"Tumor B"
1590.42688,2028.951172,"Tumor B"
1794.804565,1558.103394,"Tumor B"
1606.787598,1739.203491,"Tumor B"
2041.569946,1686.602173,"Tumor B"
2027.729736,1502.180176,"Tumor B"
2031.923096,1669.161987,"Tumor B"
1775.675781,1728.950562,"Tumor B"
1881.245239,1880.26416,"Tumor B"
1947.900391,1836.1073,"Tumor B"
2007.53894,1785.822266,"Tumor B"
1960.434814,1834.565186,"Tumor B"
1974.642822,1790.196411,"Microglia B"
2007.893921,1879.772705,"Tumor B"
1782.690063,1080.233887,"Tumor B"
1742.995239,1163.203735,"Tumor B"
1906.486938,1101.08374,"Tumor B"
1836.455444,1183.7854,"Microglia B"
1803.795898,1172.908203,"Tumor B"
1824.569214,1189.069214,"Microglia B"
1832.108398,1202.168701,"Macrophage B"
1885.067017,796.5609741,"Tumor B"
1909.795654,775.321167,"Tumor B"
1799.21106,914.821106,"Tumor B"
1533.162109,1204.679077,"Tumor B"
1594.137817,1226.599976,"Tumor B"
1748.726318,1312.64209,"Microglia B"
1806.400024,1325.608032,"Tumor B"
1805.883667,1345.054321,"Tumor B"
1957.166626,1583.363647,"Tumor B"
1945.019775,1655.348633,"Tumor B"
1912.007324,1609.72998,"Tumor B"
1968.937866,1696.813721,"Tumor A"
1938.28772,1682.625854,"Tumor B"
1807.241577,1680.926147,"Tumor B"
1833.162109,1571.439209,"Tumor B"
1871.945679,1653.232544,"Microglia B"
1858.817261,1594.731201,"Microglia B"
1501.442505,1638.511475,"Tumor A"
1226.040039,1547.645752,"Tumor B"
1272.023193,1554.935181,"Tumor B"
1262.736572,1503.875,"Tumor B"
1118.804077,1765.26355,"Tumor B"
1321.602417,1967.546143,"Tumor B"
1351.908081,1971.151367,"Tumor B"
1481.724121,2012.356323,"Tumor B"
1792.550293,2007.691284,"Tumor B"
1583.169312,2008.370361,"Tumor B"
2026.440918,1733.849487,"Microglia B"
1955.401123,1822.067749,"Tumor A"
1859.030273,1718.151489,"Tumor B"
1799.992188,1769.867188,"Tumor B"
1935.973022,1900.776978,"Tumor A"
1758.145996,1158.934326,"Tumor B"
1923.866699,1027.857788,"Tumor B"
1794.219238,1168.917847,"Tumor B"
1828.392578,1213.831787,"Tumor B"
1785.93396,903.7735596,"Tumor B"
1527.12793,1231.895386,"DNT B"
1814.661987,1278.661987,"Microglia B"
1804.818237,1291.584473,"Tumor B"
1795.523438,1371.503296,"Tumor B"
1826.351563,1389.71875,"Tumor B"
1781.06189,1420.09729,"DNT B"
1944.596924,1514.728638,"Microglia B"
1906.224243,1646.006104,"Tumor B"
1990.819092,1646.504761,"Tumor B"
1210.047852,1576.622803,"Tumor B"
1801.239136,1754.728271,"Microglia B"
1854.400757,1704.547607,"Tumor B"
1785.847656,1768.708618,"Microglia B"
1844.589722,1691.153809,"Microglia B"
1954.99585,1850.107422,"Tumor B"
1901.447388,1938.940796,"Tumor B"
1786.822876,1174.083374,"Tumor B"
1525.333374,1214.790527,"Tumor A"
1840.02356,1319.470581,"Microglia B"
1799.238037,1387.507935,"Tumor B"
1715.12915,1409.040649,"Tumor B"
1772.254883,1392.601318,"Tumor B"
1789.784546,1411.629883,"Tumor B"
1826.044067,1476.006348,"Tumor B"
1816.913086,1429.918457,"Tumor B"
1835.62146,1463.485718,"Tumor B"
1875.325806,1411.921387,"Tumor B"
1833.847046,1398.917603,"CD8T B"
1885.060059,1442.404419,"Tumor B"
1962.543091,1562.907227,"Tumor B"
1909.12793,1396.970947,"Tumor B"
1859.822388,1371.906494,"Tumor B"
1829.272217,1525.224854,"Microglia B"
1926.790161,1676.146851,"Tumor B"
2018.014526,1660.67395,"Tumor B"
2029.094482,1689.127808,"Tumor B"
2014.232544,1714.703491,"Tumor B"
1995.161499,1746.770142,"Tumor B"
1992.199951,1871.527222,"Tumor B"
1827.689209,1311.525391,"Tumor B"
1810.862061,1405.18396,"Macrophage B"
1787.643188,1383.166016,"Tumor B"
1804.727905,1421.394531,"Microglia B"
2015.991821,1401.401611,"Tumor B"
1960.725098,1418.520508,"Tumor B"
1875.521973,1370.876465,"Tumor B"
1936.616943,1664.233887,"Tumor B"
1977.875,1726.449951,"Tumor B"
1814.043457,1305.891357,"Tumor B"
1967.371216,1735.818237,"Tumor B"
2076.023926,869.6719971,"Tumor B"
2053.436768,1249.708862,"Tumor B"
